FoodCategory,FoodName,per100grams,Cals_per100grams,KJ_per100grams,LinkToko,UserId,ProductId,Image,Score
Tropical&ExoticFruits,Asian Pear,100g,42 cal,176 kJ,https://www.tokopedia.com/search?navsource=&sc=2702&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=Asian%20Pear,A3SGXH7AUHU8GW,B0009XLVG0,https://aramgarhorchards.com/wp-content/uploads/2018/08/pear-1.jpg,5
PotatoProducts,Potato Salad,100g,143 cal,601 kJ,https://www.tokopedia.com/search?navsource=&sc=2702&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=Potato%20Salad,A3SGXH7AUHU8GW,B0009XLVG0,http://d1srdn5lm0231r.cloudfront.net/wp-content/uploads/2016/07/30090739/2016-07-12_7562_edited-23.jpg,5
Vegetables,Carrot,100g,41 cal,172 kJ,https://www.tokopedia.com/search?navsource=&sc=2702&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=Carrot,A3SGXH7AUHU8GW,B001GVISJM,https://seed2plant.in/cdn/shop/products/carrotseeds.jpg?v=1604032858,1
Vegetables,Tomato,100g,18 cal,76 kJ,https://www.tokopedia.com/search?navsource=&sc=2702&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=Tomato,A3SGXH7AUHU8GW,B00144C10S,https://c.ndtvimg.com/2019-11/qtufl2f8_tomatoes_625x300_22_November_19.jpg,2
Cheese,Cheddar,100g,403 cal,1693 kJ,https://www.tokopedia.com/search?navsource=&sc=2702&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=Cheddar,B001E4KFG0,B0001PB9FY,https://149422915.v2.pressablecdn.com/wp-content/uploads/2020/04/Mild-Cheddar-Richards-Fine-Meats-and-Deli-289-362-1792-260-Lakeshore-Road-St-Catharines-Onatario-Canada.jpg,3
Sausage,Spam,100g,315 cal,1323 kJ,https://www.tokopedia.com/search?navsource=&sc=2702&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=Spam,A3SGXH7AUHU8GW,B003F6UO7K,https://tse1.mm.bing.net/th?id=OIP.CR0lnn9CVkYT1k4rUSW7zAHaE8&pid=Api&P=0&h=180,2
Cakes&Pies,Cupcake,100g,305 cal,1281 kJ,https://www.tokopedia.com/search?navsource=&sc=2702&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=Cupcake,A3SGXH7AUHU8GW,B001EO5QW8,https://img.kurio.network/44CRY2Sr6eOZMDBkjOI3vq-O9Io=/1200x1200/filters:quality(80)/https://kurio-img.kurioapps.com/20/10/02/938f6bba-c6d1-4cbb-84ab-ac8cf620cfaa.jpg,3
Cakes&Pies,Ice Cream Cake,100g,200 cal,840 kJ,https://www.tokopedia.com/search?navsource=&sc=2702&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=Ice%20Cream%20Cake,A3SGXH7AUHU8GW,B002GWHC0G,https://sugargeekshow.com/wp-content/uploads/2021/03/oreo_icecream_cake_recipe_featured.jpg,1
Cakes&Pies,Lemon Cake,100g,352 cal,1478 kJ,https://www.tokopedia.com/search?navsource=&sc=2702&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=Lemon%20Cake,A3SGXH7AUHU8GW,B004N5KULM,https://www.recipetineats.com/wp-content/uploads/2021/09/Lemon-Cake-with-Lemon-Frosting_85-SQ.jpg,4
Candy&Sweets,Eggy Bread,100g,196 cal,823 kJ,https://www.tokopedia.com/search?navsource=&sc=2702&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=Eggy%20Bread,A3SGXH7AUHU8GW,B001EO5TPM,https://images.ctfassets.net/qu53tdnhexvd/4OXKu2LFnai044qcq8EkE0/ebd685d0ca4cfa5652f5eae134d51496/eggy-bread.jpg?fm=jpg&fl=progressive&q=80&w=1300,5
(Fruit)Juices,Concord Grape,100ml,71 cal,298 kJ,https://www.tokopedia.com/search?navsource=&sc=2702&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=Concord%20Grape,A3SGXH7AUHU8GW,B005DUM9UQ,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS1-IgM2wox1TcgsHWv9BypZArICmpNptPUmg&usqp=CAU,2
(Fruit)Juices,Grape Juice,100ml,60 cal,252 kJ,https://www.tokopedia.com/search?navsource=&sc=2702&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=Grape%20Juice,A3SGXH7AUHU8GW,B000E7VI7S,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS4XXaGBjNIGrNlcY0NZszxY9oT0YFulTZsqw&usqp=CAU,4
(Fruit)Juices,Orange Juice,100ml,46 cal,193 kJ,https://www.tokopedia.com/search?navsource=&sc=2702&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=Orange%20Juice,A3SGXH7AUHU8GW,B006SQBRMA,https://images-prod.healthline.com/hlcmsresource/images/AN_images/orange-juice-1296x728-feature.jpg,5
Soda&SoftDrinks,Orange Soda,100ml,48 cal,202 kJ,https://www.tokopedia.com/search?navsource=&sc=2702&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=Orange%20Soda,A3SGXH7AUHU8GW,B003SE19UK,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTbQsADBXA7MbXiXIV2BaT3e397h8H2nLV_JA&usqp=CAU,1
Pastries,Black Bread,100g,250 cal,1050 kJ,https://www.tokopedia.com/search?navsource=&sc=2702&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=Black%20Bread,A3SGXH7AUHU8GW,B000NY8ODS,https://food-images.files.bbci.co.uk/food/recipes/no-knead_black_bread_47015_16x9.jpg,1
Pastries,Donut/Doughnut,100g,421 cal,1768 kJ,https://www.tokopedia.com/search?navsource=&sc=2702&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=Donut/Doughnut,A3SGXH7AUHU8GW,B003OB0IB8,https://www.foodnavigator.com/var/wrbm_gb_food_pharma/storage/images/publications/food-beverage-nutrition/foodnavigator.com/news/business/hfss-compliant-doughnut-developed-with-novel-starch-and-protein-tech-science-makes-it-responsibly-indulgent/12701191-1-eng-GB/HFSS-compliant-doughnut-developed-with-novel-starch-and-protein-tech-Science-makes-it-responsibly-indulgent.jpg,2
Pastries,White Bread,100g,238 cal,1000 kJ,https://www.tokopedia.com/search?navsource=&sc=2702&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=White%20Bread,A3SGXH7AUHU8GW,B002SRYRE8,https://res.cloudinary.com/dk0z4ums3/image/upload/v1630305969/attached_image/ini-alasan-konsumsi-roti-tawar-putih-sebaiknya-dibatasi.jpg,2
Sauces&Dressings,Tomato Paste,100g,82 cal,344 kJ,https://www.tokopedia.com/search?navsource=&sc=2702&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=Tomato%20Paste,A3SGXH7AUHU8GW,B0017I8UME,https://www.mediterraneanliving.com/wp-content/uploads/2022/08/Tomato-Paste.png,1
